[2025-03-03T21:25:31.955+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2025-01-23 199.9800 201.9400 196.8200 199.5800 15170838
[2025-03-03T21:25:32.451+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2025-01-22 200.5500 202.1200 199.2000 200.0300 15477376
[2025-03-03T21:25:32.846+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2025-01-21 200.5100 203.8400 199.4400 199.6300 19005232
[2025-03-03T21:25:33.369+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2025-01-17 198.0500 198.8100 195.3100 197.5500 22109129
[2025-03-03T21:25:33.820+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2025-01-16 195.8250 196.9799 194.3000 194.4100 13449581
[2025-03-03T21:25:34.542+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2025-01-15 194.3500 197.8000 193.3300 196.9800 12894875
[2025-03-03T21:25:35.106+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2025-01-14 192.5000 193.2700 189.6400 191.0500 13651183
[2025-03-03T21:25:35.650+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2025-01-13 191.3500 192.4900 188.6600 192.2900 13169060
[2025-03-03T21:25:36.344+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2025-01-10 195.4200 197.6200 191.6000 193.1700 20753794
[2025-03-03T21:25:37.083+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2025-01-08 193.9500 197.6400 193.7500 195.3900 14335341
[2025-03-03T21:25:37.523+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2025-01-07 198.2700 202.1400 195.9400 196.7100 16966760
[2025-03-03T21:25:38.089+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2025-01-06 195.1500 199.5600 195.0600 197.9600 19483323
[2025-03-03T21:25:38.589+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2025-01-03 192.7250 194.5000 191.3500 193.1300 12874957
[2025-03-03T21:25:39.100+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2025-01-02 191.4850 193.2000 188.7100 190.6300 17545162
[2025-03-03T21:25:40.330+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-12-31 192.4450 193.2500 189.5800 190.4400 14355221
[2025-03-03T21:25:40.847+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-12-30 190.8650 193.7800 190.3600 192.6900 12209534
[2025-03-03T21:25:41.292+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-12-27 196.4700 196.8000 191.9720 194.0400 14692994
[2025-03-03T21:25:41.840+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-12-26 196.7400 198.1600 195.8700 197.1000 7918434
[2025-03-03T21:25:42.281+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-12-24 196.1700 197.6700 195.1979 197.5700 6809823
[2025-03-03T21:25:42.730+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-12-23 194.0300 196.4900 191.6300 195.9900 15235942
[2025-03-03T21:25:43.205+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-12-20 187.0100 194.1354 186.3700 192.9600 45319703
[2025-03-03T21:25:43.875+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-12-19 193.2800 194.6000 189.5200 189.7000 26981196
[2025-03-03T21:25:44.344+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-12-18 196.8300 198.6899 189.2800 190.1500 27638416
[2025-03-03T21:25:44.845+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-12-17 198.5300 202.8800 196.6900 197.1200 24129481
[2025-03-03T21:25:45.385+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-12-16 194.3650 200.6400 194.1100 198.1600 32248640
[2025-03-03T21:25:45.795+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-12-13 192.7100 194.3400 191.2600 191.3800 18883217
[2025-03-03T21:25:46.257+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-12-12 196.3000 196.7053 193.2800 193.6300 25197757
[2025-03-03T21:25:46.802+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-12-11 186.7000 196.8900 186.2600 196.7100 41664489
[2025-03-03T21:25:47.293+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-12-10 184.5350 188.0300 182.6700 186.5300 34317438
[2025-03-03T21:25:48.167+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-12-09 175.7150 178.0400 175.4000 177.1000 19887786
[2025-03-03T21:25:48.788+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-12-06 173.8800 176.8389 173.5500 176.4900 13319549
[2025-03-03T21:25:49.296+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-12-05 177.3200 177.7100 174.0100 174.3100 16145520
[2025-03-03T21:25:49.863+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-12-04 172.7800 176.4300 172.7500 176.0900 18239842
[2025-03-03T21:25:50.374+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-12-03 173.1200 174.3200 172.5100 173.0200 15721483
[2025-03-03T21:25:50.859+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-12-02 170.3200 173.6000 170.2700 172.9800 16593444
[2025-03-03T21:25:51.506+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-11-29 170.0600 170.8700 168.7500 170.4900 9250712
[2025-03-03T21:25:52.098+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-11-27 170.6800 171.1400 169.6700 170.8200 12433371
[2025-03-03T21:25:52.691+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-11-26 169.4900 171.4950 169.4300 170.6200 14937478
[2025-03-03T21:25:53.431+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-11-25 167.9900 170.4600 167.4000 169.4300 21395652
[2025-03-03T21:25:54.057+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-11-22 167.1600 168.2645 165.7100 166.5700 24497042
[2025-03-03T21:25:54.570+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-11-21 175.4550 175.5800 165.3100 169.2400 38839431
[2025-03-03T21:25:55.030+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-11-20 178.8300 179.1100 175.3300 177.3300 15729806
[2025-03-03T21:25:55.710+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-11-19 175.2350 180.1700 175.1160 179.5800 15392866
[2025-03-03T21:25:56.292+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-11-18 174.9550 176.9100 174.4200 176.8000 18725422
[2025-03-03T21:25:57.025+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-11-15 175.6400 175.8800 172.7450 173.8900 21708870
[2025-03-03T21:25:57.546+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-11-14 179.7500 180.4450 176.0300 177.3500 17925763
[2025-03-03T21:25:58.021+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-11-13 182.1500 182.6150 180.1200 180.4900 13969709
[2025-03-03T21:25:58.442+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-11-12 181.3800 184.0250 180.9900 183.3200 14065845
[2025-03-03T21:25:58.930+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-11-11 180.0700 182.0850 179.9900 181.9700 12503422
[2025-03-03T21:25:59.591+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-11-08 182.0000 182.3500 179.5700 179.8600 15021549
[2025-03-03T21:26:00.193+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-11-07 179.1100 182.5800 178.8900 182.2800 16730407
[2025-03-03T21:26:00.806+0000] {logging_mixin.py:190} INFO - Shivam GOOG 2024-11-06 175.3500 178.6400 175.0400 178.3300 27061510
